Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Heat Waves""",Glass Animals,Q16839267,United Kingdom,Unknown
"""As It Was""",Harry Styles,Q3626966,United Kingdom,male
"""Stay""",The Kid Laroi and Justin Bieber,Q82890761,Australia,male
"""Easy on Me""",Adele,Q23215,United Kingdom,female
"""Shivers""",Ed Sheeran,Q47447,United Kingdom,male
"""First Class""",Jack Harlow,Q59727812,United States of America,male
"""Big Energy""",Latto,Q65029930,United States of America,female
"""Ghost""",Justin Bieber,Q34086,Canada,male
"""Super Gremlin""",Kodak Black,Q22005867,United States of America,male
"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa,Q2808,United Kingdom,male
"""Wait for U""",Future featuring Drake and Tems,Q3445057,United States of America,male
"""About Damn Time""",Lizzo,Q16232225,United States of America,female
"""Bad Habits""",Ed Sheeran,Q47447,United Kingdom,male
"""Thats What I Want""",Lil Nas X,Q62591281,United States of America,male
"""Enemy""",Imagine Dragons and JID,Q391348,United States of America,Unknown
"""Industry Baby""",Lil Nas X and Jack Harlow,Q62591281,United States of America,male
"""ABCDEFU""",Gayle,Q109768702,United States of America,female
"""Need to Know""",Doja Cat,Q51120673,United States of America,female
"""Wasted on You""",Morgan Wallen,Q29561472,United States of America,male
"""Me Porto Bonito""",Bad Bunny and Chencho Corleone,Q44333953,United States of America,male
"""Woman""",Doja Cat,Q51120673,United States of America,female
"""Tití Me Preguntó""",Bad Bunny,Q44333953,United States of America,male
"""Running Up That Hill (A Deal with God)""",Kate Bush,Q636,United Kingdom,female
"""We Don't Talk About Bruno""","Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast",Q5753201,Colombia,female
"""Late Night Talking""",Harry Styles,Q3626966,United Kingdom,male
"""I Like You (A Happier Song)""",Post Malone featuring Doja Cat,Q21621919,United States of America,male
"""You Proof""",Morgan Wallen,Q29561472,United States of America,male
"""Bad Habit""",Steve Lacy,Q56733980,United States of America,male
"""Sunroof""",Nicky Youre and Dazy,Q112666811,United States of America,male
"""One Right Now""",Post Malone and the Weeknd,Q21621919,United States of America,male
"""Good 4 U""",Olivia Rodrigo,Q63243883,United States of America,female
"""Numb Little Bug""",Em Beihold,Q111333139,United States of America,female
"""Jimmy Cooks""",Drake featuring 21 Savage,Q33240,Canada,male
"""'Til You Can't""",Cody Johnson,Q17916913,United States of America,male
"""Fancy Like""",Walker Hayes,Q7962267,United States of America,male
"""The Kind of Love We Make""",Luke Combs,Q23884740,United States of America,male
"""I Ain't Worried""",OneRepublic,Q1438730,United States of America,Unknown
"""Break My Soul""",Beyoncé,Q36153,United States of America,female
"""Something in the Orange""",Zach Bryan,Q106770023,United States of America,male
"""Save Your Tears""",The Weeknd and Ariana Grande,Q2121062,Canada,male
"""Smokin out the Window""",Silk Sonic (Bruno Mars and Anderson .Paak),Q105813956,United States of America,Unknown
"""Levitating""",Dua Lipa,Q21914464,United Kingdom,female
"""In a Minute""",Lil Baby,Q50527563,United States of America,male
"""Moscow Mule""",Bad Bunny,Q44333953,United States of America,male
"""You Right""",Doja Cat and the Weeknd,Q51120673,United States of America,female
"""She Had Me at Heads Carolina""",Cole Swindell,Q15101510,United States of America,male
"""Vegas""",Doja Cat,Q51120673,United States of America,female
"""Pushin P""",Gunna and Future featuring Young Thug,Q55613105,United States of America,male
"""Buy Dirt""",Jordan Davis and Luke Bryan,Q44274417,United States of America,male
"""I Hate U""",SZA,Q16210722,United States of America,female
"""Boyfriend""",Dove Cameron,Q13560423,United States of America,female
"""Glimpse of Us""",Joji,Q23826617,Japan,male
"""Surface Pressure""",Jessica Darrow,Q109718598,United States of America,female
"""Fall in Love""",Bailey Zimmerman,Q112581616,United States of America,male
"""Love Nwantiti (Ah Ah Ah)""",CKay,Q98312451,Nigeria,male
"""Super Freaky Girl""",Nicki Minaj,Q162202,Trinidad and Tobago,female
"""Hrs and Hrs""",Muni Long,Q7245622,United States of America,female
"""Sand in My Boots""",Morgan Wallen,Q29561472,United States of America,male
"""Mamiii""",Becky G and Karol G,Q1393997,United States of America,female
"""Knife Talk""",Drake featuring 21 Savage and Project Pat,Q33240,Canada,male
"""AA""",Walker Hayes,Q7962267,United States of America,male
"""Sweetest Pie""",Megan Thee Stallion and Dua Lipa,Q59268408,United States of America,female
"""Provenza""",Karol G,Q22001324,Colombia,female
"""Essence""",Wizkid featuring Justin Bieber and Tems,Q16233663,Nigeria,male
"""All I Want for Christmas Is You""",Mariah Carey,Q41076,United States of America,female
"""Bam Bam""",Camila Cabello featuring Ed Sheeran,Q18810940,Cuba,female
"""5 Foot 9""",Tyler Hubbard,Q20740966,United States of America,male
"""Get Into It (Yuh)""",Doja Cat,Q51120673,United States of America,female
"""Efecto""",Bad Bunny,Q44333953,United States of America,male
"""Rock and a Hard Place""",Bailey Zimmerman,Q112581616,United States of America,male
"""Doin' This""",Luke Combs,Q23884740,United States of America,male
"""Oh My God""",Adele,Q23215,United Kingdom,female
"""Better Days""","Neiked, Mae Muller and Polo G",Q26703294,Sweden,male
"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,Q111946794,United States of America,Unknown
"""Fingers Crossed""",Lauren Spencer-Smith,Q110630787,Canada,female
