Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Blinding Lights""",The Weeknd,Q2121062,Canada,male
"""Circles""",Post Malone,Q21621919,United States of America,male
"""The Box""",Roddy Ricch,Q59209423,United States of America,male
"""Don't Start Now""",Dua Lipa,Q21914464,United Kingdom,female
"""Rockstar""",DaBaby featuring Roddy Ricch,Q62107457,United States of America,male
"""Adore You""",Harry Styles,Q3626966,United Kingdom,male
"""Life Is Good""",Future featuring Drake,Q3445057,United States of America,male
"""Memories""",Maroon 5,Q182223,United States of America,Unknown
"""The Bones""",Maren Morris,Q21622122,United States of America,female
"""Someone You Loved""",Lewis Capaldi,Q42315001,United Kingdom,male
"""Say So""",Doja Cat,Q51120673,United States of America,female
"""I Hope""",Gabby Barrett featuring Charlie Puth,Q53912835,United States of America,female
"""Whats Poppin""","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",Q59727812,United States of America,male
"""Dance Monkey""",Tones and I,Q62887629,Australia,female
"""Savage""",Megan Thee Stallion featuring Beyoncé,Q59268408,United States of America,female
"""Roxanne""",Arizona Zervas,Q75124792,United States of America,male
"""Intentions""",Justin Bieber featuring Quavo,Q34086,Canada,male
"""Everything I Wanted""",Billie Eilish,Q29564107,United States of America,female
"""Roses (Imanbek remix)""",Saint Jhn,Q52274581,United States of America,male
"""Watermelon Sugar""",Harry Styles,Q3626966,United Kingdom,male
"""Before You Go""",Lewis Capaldi,Q42315001,United Kingdom,male
"""Falling""",Trevor Daniel,Q81738417,United States of America,male
"""10,000 Hours""",Dan + Shay and Justin Bieber,Q16959408,United States of America,Unknown
"""WAP""",Cardi B featuring Megan Thee Stallion,Q29033668,United States of America,female
"""Ballin'""",Mustard and Roddy Ricch,Q15941115,United States of America,male
"""Hot Girl Bummer""",Blackbear,Q22974007,United States of America,male
"""Blueberry Faygo""",Lil Mosey,Q55819454,United States of America,male
"""Heartless""",The Weeknd,Q2121062,Canada,male
"""Bop""",DaBaby,Q62107457,United States of America,male
"""Lose You to Love Me""",Selena Gomez,Q83287,United States of America,female
"""Good as Hell""",Lizzo,Q16232225,United States of America,female
"""Toosie Slide""",Drake,Q33240,Canada,male
"""Break My Heart""",Dua Lipa,Q21914464,United Kingdom,female
"""Chasin' You""",Morgan Wallen,Q29561472,United States of America,male
