Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Last Night""",Morgan Wallen,Q29561472,United States of America,male
"""Flowers""",Miley Cyrus,Q4235,United States of America,genderfluid
"""Kill Bill""",SZA,Q16210722,United States of America,female
"""Anti-Hero""",Taylor Swift,Q26876,United States of America,female
"""Creepin'""","Metro Boomin, the Weeknd and 21 Savage",Q16235273,United States of America,male
"""Calm Down""",Rema and Selena Gomez,Q65071082,Nigeria,male
"""Die for You""",The Weeknd and Ariana Grande,Q2121062,Canada,male
"""Fast Car""",Luke Combs,Q23884740,United States of America,male
"""Snooze""",SZA,Q16210722,United States of America,female
"""I'm Good (Blue)""",David Guetta and Bebe Rexha,Q8298,France,male
"""Unholy""",Sam Smith and Kim Petras,Q15123969,United Kingdom,non-binary
"""You Proof""",Morgan Wallen,Q29561472,United States of America,male
"""Something in the Orange""",Zach Bryan,Q106770023,United States of America,male
"""Rich Flex""",Drake and 21 Savage,Q33240,Canada,male
"""As It Was""",Harry Styles,Q3626966,United Kingdom,male
"""Rock and a Hard Place""",Bailey Zimmerman,Q112581616,United States of America,male
"""Under the Influence""",Chris Brown,Q155700,United States of America,male
"""Cruel Summer""",Taylor Swift,Q26876,United States of America,female
"""Thinkin' Bout Me""",Morgan Wallen,Q29561472,United States of America,male
"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice,Q107570416,United Kingdom,female
"""Favorite Song""",Toosii,Q106725126,United States of America,male
"""Thought You Should Know""",Morgan Wallen,Q29561472,United States of America,male
"""Thank God""",Kane Brown and Katelyn Brown,Q21620939,United States of America,male
"""Sure Thing""",Miguel,Q73463,United States of America,male
"""All My Life""",Lil Durk featuring J. Cole,Q2899818,United States of America,male
"""Ella Baila Sola""",Eslabon Armado and Peso Pluma,Q112702265,Unknown,Unknown
"""Karma""",Taylor Swift featuring Ice Spice,Q26876,United States of America,female
"""Just Wanna Rock""",Lil Uzi Vert,Q23771950,United States of America,non-binary
"""Cuff It""",Beyoncé,Q36153,United States of America,female
"""Vampire""",Olivia Rodrigo,Q63243883,United States of America,female
"""FukUMean""",Gunna,Q55613105,United States of America,male
"""Lavender Haze""",Taylor Swift,Q26876,United States of America,female
"""Players""",Coi Leray,Q106376206,United States of America,female
"""Need a Favor""",Jelly Roll,Q6176881,United States of America,male
"""Dance the Night""",Dua Lipa,Q21914464,United Kingdom,female
"""Love You Anyway""",Luke Combs,Q23884740,United States of America,male
"""One Thing at a Time""",Morgan Wallen,Q29561472,United States of America,male
"""Superhero (Heroes & Villains)""","Metro Boomin, Future and Chris Brown",Q16235273,United States of America,male
"""Bad Habit""",Steve Lacy,Q56733980,United States of America,male
"""La Bebé""",Yng Lvcas and Peso Pluma,Q117834547,Mexico,male
"""Golden Hour""",Jvke,Q114865231,United States of America,male
"""Religiously""",Bailey Zimmerman,Q112581616,United States of America,male
"""Spin Bout U""",Drake and 21 Savage,Q33240,Canada,male
"""Cupid""",Fifty Fifty,Q116731010,South Korea,Unknown
"""Search & Rescue""",Drake,Q33240,Canada,male
"""Barbie World""",Nicki Minaj and Ice Spice with Aqua,Q162202,Trinidad and Tobago,female
"""Next Thing You Know""",Jordan Davis,Q44274417,United States of America,male
