Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""God's Plan""",Drake,Q33240,Canada,male
"""Perfect""",Ed Sheeran,Q47447,United Kingdom,male
"""Meant to Be""",Bebe Rexha featuring Florida Georgia Line,Q16185856,United States of America,female
"""Havana""",Camila Cabello featuring Young Thug,Q18810940,Cuba,female
"""Rockstar""",Post Malone featuring 21 Savage,Q21621919,United States of America,male
"""Psycho""",Post Malone featuring Ty Dolla Sign,Q21621919,United States of America,male
"""I Like It""","Cardi B, Bad Bunny and J Balvin",Q29033668,United States of America,female
"""The Middle""","Zedd, Maren Morris and Grey",Q21088,Russia,male
"""In My Feelings""",Drake,Q33240,Canada,male
"""Girls Like You""",Maroon 5 featuring Cardi B,Q182223,United States of America,Unknown
"""Nice for What""",Drake,Q33240,Canada,male
"""Lucid Dreams""",Juice Wrld,Q52151598,United States of America,male
"""Better Now""",Post Malone,Q21621919,United States of America,male
"""Finesse""",Bruno Mars featuring Cardi B,Q1450,United States of America,male
"""Boo'd Up""",Ella Mai,Q29033458,United Kingdom,female
"""New Rules""",Dua Lipa,Q21914464,United Kingdom,female
"""Sad!""",XXXTentacion,Q28561969,United States of America,male
"""Never Be the Same""",Camila Cabello,Q18810940,Cuba,female
"""Love Lies""",Khalid and Normani,Q28816483,United States of America,male
"""No Tears Left to Cry""",Ariana Grande,Q151892,United States of America,female
"""Mine""",Bazzi,Q48720231,United States of America,male
"""Thunder""",Imagine Dragons,Q391348,United States of America,Unknown
"""Look Alive""",BlocBoy JB featuring Drake,Q49481016,United States of America,male
"""Delicate""",Taylor Swift,Q26876,United States of America,female
"""Yes Indeed""",Lil Baby and Drake,Q50527563,United States of America,male
"""Friends""",Marshmello and Anne-Marie,Q26334949,United States of America,male
"""Bad at Love""",Halsey,Q18534249,United States of America,female
"""Taste""",Tyga featuring Offset,Q358087,United States of America,male
"""Let You Down""",NF,Q19571648,United States of America,male
"""No Limit""",G-Eazy featuring ASAP Rocky and Cardi B,Q5511893,United States of America,male
"""Fefe""",6ix9ine featuring Nicki Minaj and Murda Beatz,Q44479972,United States of America,male
"""Tequila""",Dan + Shay,Q16959408,United States of America,Unknown
"""Feel It Still""",Portugal. The Man,Q606879,United States of America,Unknown
"""MotorSport""","Migos, Nicki Minaj and Cardi B",Q15777045,United States of America,Unknown
"""I Like Me Better""",Lauv,Q30122224,United States of America,male
"""Youngblood""",5 Seconds of Summer,Q4641147,Australia,Unknown
"""Whatever It Takes""",Imagine Dragons,Q391348,United States of America,Unknown
"""Ric Flair Drip""",Offset and Metro Boomin,Q30612480,United States of America,male
"""I Fall Apart""",Post Malone,Q21621919,United States of America,male
"""Pray for Me""",The Weeknd and Kendrick Lamar,Q2121062,Canada,male
"""Back to You""",Selena Gomez,Q83287,United States of America,female
"""Sicko Mode""",Travis Scott,Q13605596,United States of America,male
"""Walk It Talk It""",Migos featuring Drake,Q15777045,United States of America,Unknown
"""Gucci Gang""",Lil Pump,Q38002101,United States of America,male
"""Him & I""",G-Eazy and Halsey,Q5511893,United States of America,male
"""In My Blood""",Shawn Mendes,Q17198340,Canada,male
"""All the Stars""",Kendrick Lamar and SZA,Q130798,United States of America,male
"""Stir Fry""",Migos,Q15777045,United States of America,Unknown
"""Too Good at Goodbyes""",Sam Smith,Q15123969,United Kingdom,non-binary
"""Love""",Kendrick Lamar featuring Zacari,Q130798,United States of America,male
