Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Old Town Road""",Lil Nas X featuring Billy Ray Cyrus,Q62591281,United States of America,male
"""Sunflower""",Post Malone and Swae Lee,Q21621919,United States of America,male
"""Without Me""",Halsey,Q18534249,United States of America,female
"""Bad Guy""",Billie Eilish,Q29564107,United States of America,female
"""Wow""",Post Malone,Q21621919,United States of America,male
"""Happier""",Marshmello and Bastille,Q26334949,United States of America,male
"""7 Rings""",Ariana Grande,Q151892,United States of America,female
"""Talk""",Khalid,Q28816483,United States of America,male
"""Sicko Mode""",Travis Scott,Q13605596,United States of America,male
"""Sucker""",Jonas Brothers,Q134233,United States of America,Unknown
"""High Hopes""",Panic! at the Disco,Q277551,United States of America,Unknown
"""Thank U, Next""",Ariana Grande,Q151892,United States of America,female
"""Truth Hurts""",Lizzo,Q16232225,United States of America,female
"""Dancing with a Stranger""",Sam Smith and Normani,Q15123969,United Kingdom,non-binary
"""Señorita""",Shawn Mendes and Camila Cabello,Q17198340,Canada,male
"""I Don't Care""",Ed Sheeran and Justin Bieber,Q47447,United Kingdom,male
"""Eastside""","Benny Blanco, Halsey and Khalid",Q818048,United States of America,male
"""Going Bad""",Meek Mill featuring Drake,Q1897911,United States of America,male
"""Shallow""",Lady Gaga and Bradley Cooper,Q19848,United States of America,female
"""Better""",Khalid,Q28816483,United States of America,male
"""No Guidance""",Chris Brown featuring Drake,Q155700,United States of America,male
"""Girls Like You""",Maroon 5 featuring Cardi B,Q182223,United States of America,Unknown
"""Sweet but Psycho""",Ava Max,Q56755505,United States of America,female
"""Suge""",DaBaby,Q62107457,United States of America,male
"""Middle Child""",J. Cole,Q204018,United States of America,male
"""Drip Too Hard""",Lil Baby and Gunna,Q50527563,United States of America,male
"""Someone You Loved""",Lewis Capaldi,Q42315001,United Kingdom,male
"""Ransom""",Lil Tecca,Q65054660,United States of America,male
"""If I Can't Have You""",Shawn Mendes,Q17198340,Canada,male
"""Goodbyes""",Post Malone featuring Young Thug,Q21621919,United States of America,male
"""Zeze""",Kodak Black featuring Travis Scott and Offset,Q22005867,United States of America,male
"""Better Now""",Post Malone,Q21621919,United States of America,male
"""Youngblood""",5 Seconds of Summer,Q4641147,Australia,Unknown
"""Money in the Grave""",Drake featuring Rick Ross,Q33240,Canada,male
"""Speechless""",Dan + Shay,Q16959408,United States of America,Unknown
"""Break Up with Your Girlfriend, I'm Bored""",Ariana Grande,Q151892,United States of America,female
"""Please Me""",Cardi B and Bruno Mars,Q29033668,United States of America,female
"""Money""",Cardi B,Q29033668,United States of America,female
"""You Need to Calm Down""",Taylor Swift,Q26876,United States of America,female
"""Panini""",Lil Nas X,Q62591281,United States of America,male
"""Look Back at It""",A Boogie wit da Hoodie,Q27927826,United States of America,male
"""A Lot""",21 Savage,Q25095399,United States of America,male
"""Me!""",Taylor Swift featuring Brendon Urie,Q26876,United States of America,female
"""Mia""",Bad Bunny featuring Drake,Q44333953,United States of America,male
"""Pop Out""",Polo G featuring Lil Tjay,Q62953486,United States of America,male
"""Beautiful Crazy""",Luke Combs,Q23884740,United States of America,male
"""Thotiana""",Blueface,Q60463134,United States of America,male
"""Lucid Dreams""",Juice Wrld,Q52151598,United States of America,male
"""Mo Bamba""",Sheck Wes,Q56513324,United States of America,male
"""Beautiful People""",Ed Sheeran featuring Khalid,Q47447,United Kingdom,male
"""Wake Up in the Sky""","Gucci Mane, Bruno Mars and Kodak Black",Q206032,United States of America,male
"""Whiskey Glasses""",Morgan Wallen,Q29561472,United States of America,male
"""God's Country""",Blake Shelton,Q94831,United States of America,male
"""Be Alright""",Dean Lewis,Q29905254,Australia,male
"""Pure Water""",Mustard and Migos,Q15941115,United States of America,male
"""The Git Up""",Blanco Brown,Q64736729,United States of America,male
"""Taki Taki""","DJ Snake featuring Selena Gomez, Ozuna and Cardi B",Q16728588,France,male
"""Close to Me""",Ellie Goulding and Diplo featuring Swae Lee,Q31164,United Kingdom,female
"""Envy Me""",Calboy,Q66085272,United States of America,male
"""You Say""",Lauren Daigle,Q18685595,United States of America,female
"""Hey Look Ma, I Made It""",Panic! at the Disco,Q277551,United States of America,Unknown
"""Circles""",Post Malone,Q21621919,United States of America,male
"""Beer Never Broke My Heart""",Luke Combs,Q23884740,United States of America,male
"""The London""","Young Thug, J. Cole and Travis Scott",Q15637814,United States of America,male
"""Con Calma""",Daddy Yankee and Katy Perry featuring Snow,Q272591,United States of America,male
"""Murder on My Mind""",YNW Melly,Q56276347,United States of America,male
"""When the Party's Over""",Billie Eilish,Q29564107,United States of America,female
"""Act Up""",City Girls,Q60658858,United States of America,Unknown
"""I Like It""","Cardi B, Bad Bunny and J Balvin",Q29033668,United States of America,female
"""Trampoline""",Shaed,Q60643444,United States of America,Unknown
"""Leave Me Alone""",Flipp Dinero,Q57584556,United States of America,male
"""Breathin""",Ariana Grande,Q151892,United States of America,female
"""Bury a Friend""",Billie Eilish,Q29564107,United States of America,female
"""Close Friends""",Lil Baby,Q50527563,United States of America,male
"""Baby Shark""",Pinkfong,Q55735607,Unknown,Unknown
"""My Type""",Saweetie,Q50486592,United States of America,female
"""Worth It""",YK Osiris,Q66095815,United States of America,male
"""Only Human""",Jonas Brothers,Q134233,United States of America,Unknown
"""Knockin' Boots""",Luke Bryan,Q166197,United States of America,male
"""Trip""",Ella Mai,Q29033458,United Kingdom,female
"""Rumor""",Lee Brice,Q1811729,United States of America,male
"""Swervin""",A Boogie wit da Hoodie featuring 6ix9ine,Q27927826,United States of America,male
"""How Do You Sleep?""",Sam Smith,Q15123969,United Kingdom,non-binary
"""Baby""",Lil Baby and DaBaby,Q50527563,United States of America,male
"""Look What God Gave Her""",Thomas Rhett,Q7793491,United States of America,male
"""Good as You""",Kane Brown,Q21620939,United States of America,male
"""Clout""",Offset featuring Cardi B,Q30612480,United States of America,male
"""Love Lies""",Khalid and Normani,Q28816483,United States of America,male
"""One Thing Right""",Marshmello and Kane Brown,Q26334949,United States of America,male
"""Cash Shit""",Megan Thee Stallion featuring DaBaby,Q59268408,United States of America,female
"""Tequila""",Dan + Shay,Q16959408,United States of America,Unknown
"""Shotta Flow""",NLE Choppa,Q64009351,United States of America,male
"""Hot Girl Summer""",Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,Q59268408,United States of America,female
"""Talk You Out of It""",Florida Georgia Line,Q3644642,United States of America,Unknown
"""Beautiful""",Bazzi featuring Camila Cabello,Q48720231,United States of America,male
"""Eyes on You""",Chase Rice,Q5087189,United States of America,male
"""All to Myself""",Dan + Shay,Q16959408,United States of America,Unknown
"""Boyfriend""",Ariana Grande and Social House,Q151892,United States of America,female
"""Walk Me Home""",Pink,Q160009,United States of America,female
"""Robbery""",Juice Wrld,Q52151598,United States of America,male
