Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Rolling in the Deep""",Adele,Q23215,United Kingdom,female
"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,Q48978,United States of America,Unknown
"""Firework""",Katy Perry,Q42493,United States of America,female
"""E.T.""",Katy Perry featuring Kanye West,Q42493,United States of America,female
"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",Q187844,United States of America,male
"""Grenade""",Bruno Mars,Q1450,United States of America,male
"""Fuck You (Forget You)""",CeeLo Green,Q4042,United States of America,male
"""Super Bass""",Nicki Minaj,Q162202,Trinidad and Tobago,female
"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,Q182223,United States of America,Unknown
"""Just Can't Get Enough""",The Black Eyed Peas,Q134541,United States of America,Unknown
"""On the Floor""",Jennifer Lopez featuring Pitbull,Q40715,United States of America,female
"""S&M""",Rihanna,Q36844,Barbados,female
"""Pumped Up Kicks""",Foster the People,Q61113,United States of America,Unknown
"""Last Friday Night (T.G.I.F.)""",Katy Perry,Q42493,United States of America,female
"""Just the Way You Are""",Bruno Mars,Q1450,United States of America,male
"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,Q47122,Spain,male
"""Raise Your Glass""",Pink,Q160009,United States of America,female
"""Born This Way""",Lady Gaga,Q19848,United States of America,female
"""Fuckin' Perfect""",Pink,Q160009,United States of America,female
"""What's My Name?""",Rihanna featuring Drake,Q36844,Barbados,female
"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,Q155700,United States of America,male
"""Down on Me""",Jeremih featuring 50 Cent,Q472891,United States of America,male
"""How to Love""",Lil Wayne,Q15615,United States of America,male
"""Someone Like You""",Adele,Q23215,United Kingdom,female
"""Good Life""",OneRepublic,Q1438730,United States of America,Unknown
"""The Lazy Song""",Bruno Mars,Q1450,United States of America,male
"""Till the World Ends""",Britney Spears,Q11975,United States of America,female
"""The Show Goes On""",Lupe Fiasco,Q310116,United States of America,male
"""The Edge of Glory""",Lady Gaga,Q19848,United States of America,female
"""We R Who We R""",Kesha,Q33605,United States of America,female
"""Black and Yellow""",Wiz Khalifa,Q117139,United States of America,male
"""Tonight Tonight""",Hot Chelle Rae,Q610047,United States of America,Unknown
"""Blow""",Kesha,Q33605,United States of America,female
"""Lighters""",Bad Meets Evil featuring Bruno Mars,Q741532,United States of America,Unknown
"""If I Die Young""",The Band Perry,Q1460017,United States of America,Unknown
"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,Q818377,United States of America,Unknown
"""The Time (Dirty Bit)""",The Black Eyed Peas,Q134541,United States of America,Unknown
"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,Q2177991,United States of America,Unknown
"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,Q187844,United States of America,male
"""Only Girl (In the World)""",Rihanna,Q36844,Barbados,female
"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,Q15615,United States of America,male
"""Just a Kiss""",Lady Antebellum,Q389870,United States of America,Unknown
"""Dirt Road Anthem""",Jason Aldean,Q195439,United States of America,male
"""Dynamite""",Taio Cruz,Q313370,United Kingdom,male
"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,Q571125,United States of America,male
"""I Wanna Go""",Britney Spears,Q11975,United States of America,female
"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",Q80805,United States of America,male
"""You Make Me Feel...""",Cobra Starship featuring Sabi,Q524822,United States of America,Unknown
"""Yeah 3x""",Chris Brown,Q155700,United States of America,male
"""Moment 4 Life""",Nicki Minaj featuring Drake,Q162202,Trinidad and Tobago,female
"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,Q6078,United States of America,male
"""Just a Dream""",Nelly,Q218992,United States of America,male
"""Motivation""",Kelly Rowland featuring Lil Wayne,Q184249,United States of America,female
"""Stereo Love""",Edward Maya featuring Vika Jigulina,Q317169,Romania,male
"""Jar of Hearts""",Christina Perri,Q229341,United States of America,female
"""Roll Up""",Wiz Khalifa,Q117139,United States of America,male
"""Sexy and I Know It""",LMFAO,Q48978,United States of America,Unknown
"""Rocketeer""",Far East Movement featuring Ryan Tedder,Q104625,United States of America,Unknown
"""All of the Lights""",Kanye West,Q15935,United States of America,male
"""Hold It Against Me""",Britney Spears,Q11975,United States of America,female
"""More""",Usher,Q165911,United States of America,male
"""What the Hell""",Avril Lavigne,Q30449,Canada,female
"""Written in the Stars""",Tinie Tempah featuring Eric Turner,Q46321,United Kingdom,male
"""Bottoms Up""",Trey Songz featuring Nicki Minaj,Q320190,United States of America,male
"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,Q165911,United States of America,male
"""For the First Time""",The Script,Q459585,Republic of Ireland,Unknown
"""Honey Bee""",Blake Shelton,Q94831,United States of America,male
"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,Q195439,United States of America,male
"""We Found Love""",Rihanna featuring Calvin Harris,Q36844,Barbados,female
"""Pretty Girl Rock""",Keri Hilson,Q152453,United States of America,female
"""Yoü and I""",Lady Gaga,Q19848,United States of America,female
"""Like a G6""",Far East Movement featuring The Cataracs and Dev,Q104625,United States of America,Unknown
"""Without You""",David Guetta featuring Usher,Q8298,France,male
"""Back to December""",Taylor Swift,Q26876,United States of America,female
"""Teenage Dream""",Katy Perry,Q42493,United States of America,female
"""Crazy Girl""",Eli Young Band,Q5360355,United States of America,Unknown
