Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Uptown Funk""",Mark Ronson featuring Bruno Mars,Q425821,United Kingdom,male
"""Thinking Out Loud""",Ed Sheeran,Q47447,United Kingdom,male
"""See You Again""",Wiz Khalifa featuring Charlie Puth,Q117139,United States of America,male
"""Trap Queen""",Fetty Wap,Q19361511,United States of America,male
"""Sugar""",Maroon 5,Q182223,United States of America,Unknown
"""Shut Up and Dance""",Walk the Moon,Q3653206,United States of America,Unknown
"""Blank Space""",Taylor Swift,Q26876,United States of America,female
"""Watch Me""",Silentó,Q20354248,United States of America,male
"""Earned It""",The Weeknd,Q2121062,Canada,male
"""The Hills""",The Weeknd,Q2121062,Canada,male
"""Cheerleader (Felix Jaehn Remix)""",OMI,Q18510281,Jamaica,male
"""Can't Feel My Face""",The Weeknd,Q2121062,Canada,male
"""Love Me Like You Do""",Ellie Goulding,Q31164,United Kingdom,female
"""Take Me to Church""",Hozier,Q16233232,Republic of Ireland,male
"""Bad Blood""",Taylor Swift featuring Kendrick Lamar,Q26876,United States of America,female
"""Lean On""",Major Lazer and DJ Snake featuring MØ,Q2604214,United States of America,Unknown
"""Want to Want Me""",Jason Derulo,Q243639,United States of America,male
"""Shake It Off""",Taylor Swift,Q26876,United States of America,female
"""Where Are Ü Now""",Skrillex and Diplo (Jack Ü) featuring Justin Bieber,Q19004,United States of America,male
"""Fight Song""",Rachel Platten,Q7279360,United States of America,female
"""679""",Fetty Wap featuring Remy Boyz,Q19361511,United States of America,male
"""Lips Are Movin""",Meghan Trainor,Q17403494,United States of America,female
"""Worth It""",Fifth Harmony featuring Kid Ink,Q3087893,United States of America,Unknown
"""Post to Be""",Omarion featuring Chris Brown and Jhené Aiko,Q361683,United States of America,male
"""Honey, I'm Good.""",Andy Grammer,Q4299814,United States of America,male
"""I'm Not the Only One""",Sam Smith,Q15123969,United Kingdom,non-binary
"""Good for You""",Selena Gomez featuring ASAP Rocky,Q83287,United States of America,female
"""All About That Bass""",Meghan Trainor,Q17403494,United States of America,female
"""Style""",Taylor Swift,Q26876,United States of America,female
"""Hotline Bling""",Drake,Q33240,Canada,male
"""Hey Mama""","David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack",Q8298,France,male
"""G.D.F.R.""",Flo Rida featuring Sage the Gemini and Lookas,Q213538,United States of America,male
"""What Do You Mean?""",Justin Bieber,Q34086,Canada,male
"""Photograph""",Ed Sheeran,Q47447,United Kingdom,male
"""Hello""",Adele,Q23215,United Kingdom,female
"""Stitches""",Shawn Mendes,Q17198340,Canada,male
"""Talking Body""",Tove Lo,Q15948790,Sweden,female
"""Jealous""",Nick Jonas,Q201656,United States of America,male
