Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Somebody That I Used to Know""",Gotye featuring Kimbra,Q489643,Belgium,male
"""Call Me Maybe""",Carly Rae Jepsen,Q52583,Canada,female
"""We Are Young""",Fun featuring Janelle Monáe,Q838984,United States of America,Unknown
"""Payphone""",Maroon 5 featuring Wiz Khalifa,Q182223,United States of America,Unknown
"""Lights""",Ellie Goulding,Q31164,United Kingdom,female
"""Glad You Came""",The Wanted,Q34918,United Kingdom,Unknown
"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,Q483507,United States of America,female
"""We Found Love""",Rihanna featuring Calvin Harris,Q36844,Barbados,female
"""Starships""",Nicki Minaj,Q162202,Trinidad and Tobago,female
"""What Makes You Beautiful""",One Direction,Q146027,United Kingdom,Unknown
"""Wild Ones""",Flo Rida featuring Sia,Q213538,United States of America,male
"""Set Fire to the Rain""",Adele,Q23215,United Kingdom,female
"""Sexy and I Know It""",LMFAO,Q48978,United States of America,Unknown
"""Some Nights""",Fun,Q838984,United States of America,Unknown
"""Wide Awake""",Katy Perry,Q42493,United States of America,female
"""Good Feeling""",Flo Rida,Q213538,United States of America,male
"""Whistle""",Flo Rida,Q213538,United States of America,male
"""One More Night""",Maroon 5,Q182223,United States of America,Unknown
"""Drive By""",Train,Q282531,United States of America,Unknown
"""The Motto""",Drake featuring Lil Wayne,Q33240,Canada,male
"""Where Have You Been""",Rihanna,Q36844,Barbados,female
"""Everybody Talks""",Neon Trees,Q1508269,United States of America,Unknown
"""Take Care""",Drake featuring Rihanna,Q33240,Canada,male
"""Titanium""",David Guetta featuring Sia,Q8298,France,male
"""I Won't Give Up""",Jason Mraz,Q192515,United States of America,male
"""It Will Rain""",Bruno Mars,Q1450,United States of America,male
"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",Q15935,United States of America,male
"""Boyfriend""",Justin Bieber,Q34086,Canada,male
"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,Q48978,United States of America,Unknown
"""Too Close""",Alex Clare,Q950204,United Kingdom,male
"""Part of Me""",Katy Perry,Q42493,United States of America,female
"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,Q6096,United States of America,male
"""We Are Never Ever Getting Back Together""",Taylor Swift,Q26876,United States of America,female
"""As Long as You Love Me""",Justin Bieber featuring Big Sean,Q34086,Canada,male
"""Turn Me On""",David Guetta featuring Nicki Minaj,Q8298,France,male
"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,Q182223,United States of America,Unknown
"""Blow Me (One Last Kiss)""",Pink,Q160009,United States of America,female
"""Good Time""",Owl City and Carly Rae Jepsen,Q207938,United States of America,Unknown
"""Give Your Heart a Break""",Demi Lovato,Q41173,United States of America,genderfluid
"""Niggas in Paris""",Jay-Z and Kanye West,Q62766,United States of America,male
"""The One That Got Away""",Katy Perry,Q42493,United States of America,female
"""Feel So Close""",Calvin Harris,Q81637,Scotland,male
"""Someone like You""",Adele,Q23215,United Kingdom,female
"""Scream""",Usher,Q165911,United States of America,male
"""Rack City""",Tyga,Q358087,United States of America,male
"""Domino""",Jessie J,Q18814,United Kingdom,female
"""Gangnam Style""",Psy,Q20150,South Korea,male
"""International Love""",Pitbull featuring Chris Brown,Q187844,United States of America,male
"""Home""",Phillip Phillips,Q219519,United States of America,male
"""Without You""",David Guetta featuring Usher,Q8298,France,male
"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,Q818377,United States of America,Unknown
"""Wanted""",Hunter Hayes,Q1042498,United States of America,male
"""Drunk on You""",Luke Bryan,Q166197,United States of America,male
"""No Lie""",2 Chainz featuring Drake,Q129668,United States of America,male
"""Want U Back""",Cher Lloyd,Q230451,United Kingdom,female
"""Don't Wake Me Up""",Chris Brown,Q155700,United States of America,male
"""Dance (A$$)""",Big Sean featuring Nicki Minaj,Q367634,United States of America,male
"""Springsteen""",Eric Church,Q975911,United States of America,male
"""Brokenhearted""",Karmin,Q1167969,United States of America,Unknown
"""Not Over You""",Gavin DeGraw,Q337722,United States of America,male
"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,Q818377,United States of America,Unknown
"""Back in Time""",Pitbull,Q187844,United States of America,male
"""Work Out""",J. Cole,Q204018,United States of America,male
"""Rumour Has It""",Adele,Q23215,United Kingdom,female
"""Let's Go""",Calvin Harris featuring Ne-Yo,Q81637,Scotland,male
"""Good Girl""",Carrie Underwood,Q215546,United States of America,female
"""Pontoon""",Little Big Town,Q607317,United States of America,Unknown
"""Ho Hey""",The Lumineers,Q496101,United States of America,Unknown
"""Paradise""",Coldplay,Q45188,United Kingdom,Unknown
"""Blown Away""",Carrie Underwood,Q215546,United States of America,female
"""Rolling in the Deep""",Adele,Q23215,United Kingdom,female
"""Climax""",Usher,Q165911,United States of America,male
"""Work Hard, Play Hard""",Wiz Khalifa,Q117139,United States of America,male
"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,Q193710,United States of America,male
"""Pound the Alarm""",Nicki Minaj,Q162202,Trinidad and Tobago,female
"""Come Over""",Kenny Chesney,Q467526,United States of America,male
"""Heart Attack""",Trey Songz,Q320190,United States of America,male
"""Drank in My Cup""",Kirko Bangz,Q1711339,United States of America,male
"""Birthday Cake""",Rihanna featuring Chris Brown,Q36844,Barbados,female
"""So Good""",B.o.B,Q45667,United States of America,male
"""50 Ways to Say Goodbye""",Train,Q282531,United States of America,Unknown
"""Red Solo Cup""",Toby Keith,Q559819,United States of America,male
"""Love You Like a Love Song""",Selena Gomez & the Scene,Q726076,United States of America,Unknown
"""Turn Up the Music""",Chris Brown,Q155700,United States of America,male
