Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Happy""",Pharrell Williams,Q14313,United States of America,male
"""Dark Horse""",Katy Perry featuring Juicy J,Q42493,United States of America,female
"""All of Me""",John Legend,Q44857,United States of America,male
"""Fancy""",Iggy Azalea featuring Charli XCX,Q2748803,Australia,female
"""Counting Stars""",OneRepublic,Q1438730,United States of America,Unknown
"""Talk Dirty""",Jason Derulo featuring 2 Chainz,Q243639,United States of America,male
"""Rude""",Magic!,Q16596856,Canada,Unknown
"""All About That Bass""",Meghan Trainor,Q17403494,United States of America,female
"""Problem""",Ariana Grande featuring Iggy Azalea,Q151892,United States of America,female
"""Stay with Me""",Sam Smith,Q15123969,United Kingdom,non-binary
"""Timber""",Pitbull featuring Kesha,Q187844,United States of America,male
"""Pompeii""",Bastille,Q689,United Kingdom,Unknown
"""Shake It Off""",Taylor Swift,Q26876,United States of America,female
"""Am I Wrong""",Nico & Vinz,Q11967617,Norway,Unknown
"""Turn Down for What""",DJ Snake and Lil Jon,Q16728588,France,male
"""The Monster""",Eminem featuring Rihanna,Q5608,United States of America,male
"""Say Something""",A Great Big World and Christina Aguilera,Q15136158,United States of America,Unknown
"""Team""",Lorde,Q13476175,New Zealand,female
"""Let Her Go""",Passenger,Q653086,United Kingdom,male
"""Royals""",Lorde,Q13476175,New Zealand,female
"""Let It Go""",Idina Menzel,Q157400,United States of America,female
"""Wake Me Up""",Avicii,Q505476,Sweden,male
"""Demons""",Imagine Dragons,Q391348,United States of America,Unknown
"""Story of My Life""",One Direction,Q146027,United Kingdom,Unknown
"""Chandelier""",Sia,Q181484,Australia,female
"""Black Widow""",Iggy Azalea featuring Rita Ora,Q2748803,Australia,female
"""Bang Bang""","Jessie J, Ariana Grande and Nicki Minaj",Q18814,United Kingdom,female
"""Latch""",Disclosure featuring Sam Smith,Q1228440,United Kingdom,Unknown
"""Maps""",Maroon 5,Q182223,United States of America,Unknown
"""Loyal""",Chris Brown featuring Lil Wayne and French Montana or Too Short or Tyga,Q155700,United States of America,male
"""Best Day of My Life""",American Authors,Q15044381,United States of America,Unknown
"""Habits (Stay High)""",Tove Lo,Q15948790,Sweden,female
"""Summer""",Calvin Harris,Q81637,Scotland,male
"""Boom Clap""",Charli XCX,Q5084390,United Kingdom,female
"""Drunk in Love""",Beyoncé featuring Jay-Z,Q36153,United States of America,female
"""Anaconda""",Nicki Minaj,Q162202,Trinidad and Tobago,female
"""Break Free""",Ariana Grande featuring Zedd,Q151892,United States of America,female
"""Bailando""",Enrique Iglesias featuring Descemer Bueno and Gente de Zona,Q47122,Spain,male
"""Burn""",Ellie Goulding,Q31164,United Kingdom,female
"""Wiggle""",Jason Derulo featuring Snoop Dogg,Q243639,United States of America,male
"""Rather Be""",Clean Bandit featuring Jess Glynne,Q11838808,United Kingdom,Unknown
"""Don't Tell 'Em""",Jeremih featuring YG,Q472891,United States of America,male
"""Show Me""",Kid Ink featuring Chris Brown,Q556720,United States of America,male
"""Wrecking Ball""",Miley Cyrus,Q4235,United States of America,genderfluid
"""Not a Bad Thing""",Justin Timberlake,Q43432,United States of America,male
"""Roar""",Katy Perry,Q42493,United States of America,female
"""Ain't It Fun""",Paramore,Q473466,United States of America,Unknown
"""The Man""",Aloe Blacc,Q49319,United States of America,male
"""This Is How We Roll""",Florida Georgia Line featuring Luke Bryan,Q3644642,United States of America,Unknown
"""Classic""",MKTO,Q3273045,United States of America,Unknown
"""A Sky Full of Stars""",Coldplay,Q45188,United Kingdom,Unknown
"""Don't""",Ed Sheeran,Q47447,United Kingdom,male
"""Na Na""",Trey Songz,Q320190,United States of America,male
"""Hot Boy""",Bobby Shmurda,Q17501920,United States of America,male
"""Hold On, We're Going Home""",Drake featuring Majid Jordan,Q33240,Canada,male
"""Sing""",Ed Sheeran,Q47447,United Kingdom,male
"""Radioactive""",Imagine Dragons,Q391348,United States of America,Unknown
"""My Hitta""",YG featuring Jeezy and Rich Homie Quan,Q3076050,United States of America,male
"""Cool Kids""",Echosmith,Q15044343,United States of America,Unknown
"""Hey Brother""",Avicii,Q505476,Sweden,male
"""Trumpets""",Jason Derulo,Q243639,United States of America,male
"""Animals""",Maroon 5,Q182223,United States of America,Unknown
"""Burnin' It Down""",Jason Aldean,Q195439,United States of America,male
"""Play It Again""",Luke Bryan,Q166197,United States of America,male
"""2 On""",Tinashe featuring ScHoolboy Q,Q434745,United States of America,female
"""Dirt""",Florida Georgia Line,Q3644642,United States of America,Unknown
"""Love Runs Out""",OneRepublic,Q1438730,United States of America,Unknown
"""Bottoms Up""",Brantley Gilbert,Q4957684,United States of America,male
"""Shower""",Becky G,Q1393997,United States of America,female
"""Me and My Broken Heart""",Rixton,Q16672928,United Kingdom,Unknown
"""Animals""",Martin Garrix,Q14544318,Kingdom of the Netherlands,male
"""Lifestyle""",Rich Gang featuring Young Thug and Rich Homie Quan,Q1047366,Unknown,Unknown
"""American Kids""",Kenny Chesney,Q467526,United States of America,male
"""Brave""",Sara Bareilles,Q230445,United States of America,female
"""Sweater Weather""",The Neighbourhood,Q7753383,United States of America,Unknown
"""Leave the Night On""",Sam Hunt,Q16223171,United States of America,male
"""New Flame""",Chris Brown featuring Usher and Rick Ross,Q155700,United States of America,male
"""Love Never Felt So Good""",Michael Jackson and Justin Timberlake,Q2831,United States of America,male
"""Drunk on a Plane""",Dierks Bentley,Q617932,United States of America,male
"""Birthday""",Katy Perry,Q42493,United States of America,female
"""Bartender""",Lady Antebellum,Q389870,United States of America,Unknown
"""La La La""",Naughty Boy featuring Sam Smith,Q6981132,United Kingdom,male
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,Q467423,United States of America,male
"""Do What U Want""",Lady Gaga featuring R. Kelly,Q19848,United States of America,female
"""Can't Remember to Forget You""",Shakira featuring Rihanna,Q34424,Spain,female
"""Amnesia""",5 Seconds of Summer,Q4641147,Australia,Unknown
"""No Mediocre""",T.I. featuring Iggy Azalea,Q214227,United States of America,male
"""Come with Me Now""",KONGOS,Q6429225,South Africa,Unknown
"""Believe Me""",Lil Wayne featuring Drake,Q15615,United States of America,male
