Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""23""","Mike WiLL Made-It featuring Miley Cyrus, Wiz Khalifa, and Juicy J",Q6849262,United States of America,male
"""Beachin'""",Jake Owen,Q453635,United States of America,male
"""White Walls""",Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,Q16853301,United States of America,Unknown
"""She Looks So Perfect""",5 Seconds of Summer,Q4641147,Australia,Unknown
"""Stay the Night""",Zedd featuring Hayley Williams,Q21088,Russia,male
"""Partition""",Beyoncé,Q36153,United States of America,female
"""Studio""",ScHoolboy Q featuring BJ the Chicago Kid,Q168633,United States of America,male
"""0 to 100 / The Catch Up""",Drake,Q33240,Canada,male
"""I Don't Dance""",Lee Brice,Q1811729,United States of America,male
"""Somethin' Bad""",Miranda Lambert and Carrie Underwood,Q231233,United States of America,female
"""Adore You""",Miley Cyrus,Q4235,United States of America,genderfluid
