Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Shape of You""",Ed Sheeran,Q47447,United Kingdom,male
"""Despacito (Remix)""",Luis Fonsi and Daddy Yankee featuring Justin Bieber,Q1387726,Puerto Rico,male
"""That's What I Like""",Bruno Mars,Q1450,United States of America,male
"""Humble""",Kendrick Lamar,Q130798,United States of America,male
"""Something Just Like This""",The Chainsmokers and Coldplay,Q7721993,United States of America,Unknown
"""Bad and Boujee""",Migos featuring Lil Uzi Vert,Q15777045,United States of America,Unknown
"""Closer""",The Chainsmokers featuring Halsey,Q7721993,United States of America,Unknown
"""Body Like a Back Road""",Sam Hunt,Q16223171,United States of America,male
"""Believer""",Imagine Dragons,Q391348,United States of America,Unknown
"""Congratulations""",Post Malone featuring Quavo,Q21621919,United States of America,male
"""Say You Won't Let Go""",James Arthur,Q717626,United Kingdom,male
"""I'm the One""","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",Q80805,United States of America,male
"""XO Tour Llif3""",Lil Uzi Vert,Q23771950,United States of America,non-binary
"""Mask Off""",Future,Q3445057,United States of America,male
"""Unforgettable""",French Montana featuring Swae Lee,Q1455261,Morocco,male
"""24K Magic""",Bruno Mars,Q1450,United States of America,male
"""Stay""",Zedd and Alessia Cara,Q21088,Russia,male
"""Wild Thoughts""",DJ Khaled featuring Rihanna and Bryson Tiller,Q80805,United States of America,male
"""Black Beatles""",Rae Sremmurd featuring Gucci Mane,Q18123226,United States of America,Unknown
"""Starboy""",The Weeknd featuring Daft Punk,Q2121062,Canada,male
"""Location""",Khalid,Q28816483,United States of America,male
"""Attention""",Charlie Puth,Q19810390,United States of America,male
"""There's Nothing Holdin' Me Back""",Shawn Mendes,Q17198340,Canada,male
"""Bodak Yellow""",Cardi B,Q29033668,United States of America,female
"""Redbone""",Childish Gambino,Q1239933,United States of America,male
"""I Don't Wanna Live Forever""",Zayn and Taylor Swift,Q3626950,United Kingdom,male
"""It Ain't Me""",Kygo and Selena Gomez,Q16845512,Norway,male
