Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Breathe""",Faith Hill,Q464241,United States of America,female
"""Smooth""",Santana featuring Rob Thomas,Q873384,United States of America,Unknown
"""Maria Maria""",Santana featuring The Product G&B,Q873384,United States of America,Unknown
"""I Wanna Know""",Joe,Q1077266,United States of America,male
"""Everything You Want""",Vertical Horizon,Q2061582,United States of America,Unknown
"""Say My Name""",Destiny's Child,Q153056,United States of America,Unknown
"""I Knew I Loved You""",Savage Garden,Q493710,Australia,Unknown
"""Amazed""",Lonestar,Q1869293,United States of America,Unknown
"""Bent""",Matchbox Twenty,Q482444,United States of America,Unknown
"""He Wasn't Man Enough""",Toni Braxton,Q155412,United States of America,female
"""Higher""",Creed,Q308816,United States of America,Unknown
"""Try Again""",Aaliyah,Q11617,United States of America,female
"""Jumpin', Jumpin'""",Destiny's Child,Q153056,United States of America,Unknown
"""Thong Song""",Sisqó,Q730108,United States of America,male
"""Kryptonite""",3 Doors Down,Q175097,United States of America,Unknown
"""There You Go""",Pink,Q160009,United States of America,female
"""Music""",Madonna,Q1744,United States of America,female
"""Doesn't Really Matter""",Janet Jackson,Q131324,United States of America,female
"""What a Girl Wants""",Christina Aguilera,Q41594,United States of America,female
"""Back at One""",Brian McKnight,Q1153370,United States of America,male
"""Bye Bye Bye""",NSYNC,Q154454,United States of America,Unknown
"""You Sang to Me""",Marc Anthony,Q26625,United States of America,male
"""I Need to Know""",Marc Anthony,Q26625,United States of America,male
"""Get It On Tonite""",Montell Jordan,Q1394645,United States of America,male
"""Incomplete""",Sisqó,Q730108,United States of America,male
"""I Try""",Macy Gray,Q232456,United States of America,female
"""It's Gonna Be Me""",NSYNC,Q154454,United States of America,Unknown
"""That's the Way It Is""",Celine Dion,Q5105,Canada,female
"""Country Grammar (Hot Shit)""",Nelly,Q218992,United States of America,male
"""Bring It All to Me""",Blaque,Q374593,United States of America,Unknown
"""Show Me the Meaning of Being Lonely""",Backstreet Boys,Q17140,United States of America,Unknown
"""Hot Boyz""","Missy Elliott featuring Nas, Eve and Q-Tip",Q155079,United States of America,female
"""Back Here""",BBMak,Q585404,United Kingdom,Unknown
"""It Feels So Good""",Sonique,Q60194,United Kingdom,female
"""Absolutely (Story of a Girl)""",Nine Days,Q1759727,United States of America,Unknown
"""With Arms Wide Open""",Creed,Q308816,United States of America,Unknown
"""Be with You""",Enrique Iglesias,Q47122,Spain,male
"""Come On Over Baby (All I Want Is You)""",Christina Aguilera,Q41594,United States of America,female
"""No More""",Ruff Endz,Q13416666,United States of America,Unknown
"""All the Small Things""",Blink 182,Q482477,United States of America,Unknown
"""The Way You Love Me""",Faith Hill,Q464241,United States of America,female
"""I Turn to You""",Christina Aguilera,Q41594,United States of America,female
"""Never Let You Go""",Third Eye Blind,Q1155385,United States of America,Unknown
"""I Need You""",LeAnn Rimes,Q120533,United States of America,female
"""Thank God I Found You""",Mariah Carey featuring Joe and 98 Degrees,Q41076,United States of America,female
"""Let's Get Married""",Jagged Edge,Q1678447,United States of America,Unknown
"""My Love Is Your Love""",Whitney Houston,Q34389,United States of America,female
"""Then the Morning Comes""",Smash Mouth,Q740434,United States of America,Unknown
"""Blue (Da Ba Dee)""",Eiffel 65,Q240403,Italy,Unknown
"""Desert Rose""",Sting featuring Cheb Mami,Q483203,United Kingdom,male
"""The Real Slim Shady""",Eminem,Q5608,United States of America,male
"""Most Girls""",Pink,Q160009,United States of America,female
"""Wifey""",Next,Q339671,United States of America,Unknown
"""Wonderful""",Everclear,Q1381972,United States of America,Unknown
"""Oops!... I Did It Again""",Britney Spears,Q11975,United States of America,female
"""I Wanna Love You Forever""",Jessica Simpson,Q168992,United States of America,female
"""Give Me Just One Night (Una Noche)""",98 Degrees,Q277230,United States of America,Unknown
"""Take a Picture""",Filter,Q750954,United States of America,Unknown
"""Otherside""",Red Hot Chili Peppers,Q10708,United States of America,Unknown
"""Big Pimpin'""",Jay-Z featuring UGK,Q62766,United States of America,male
"""Purest of Pain (A Puro Dolor)""",Son by Four,Q2737293,United States of America,Unknown
"""He Can't Love U""",Jagged Edge,Q1678447,United States of America,Unknown
"""Separated""",Avant,Q724485,United States of America,male
"""I Wish""",Carl Thomas,Q2145643,United States of America,male
"""U Know What's Up""",Donell Jones,Q1241173,United States of America,male
"""Faded""",soulDecision featuring Thrust,Q7564153,Canada,Unknown
"""Only God Knows Why""",Kid Rock,Q158175,United States of America,male
"""Shake Ya Ass""",Mystikal,Q962811,United States of America,male
"""Bag Lady""",Erykah Badu,Q223875,United States of America,female
"""Meet Virginia""",Train,Q282531,United States of America,Unknown
"""Party Up (Up in Here)""",DMX,Q223769,United States of America,male
"""Case of the Ex (Whatcha Gonna Do)""",Mýa,Q233736,United States of America,female
"""Forgot About Dre""",Dr. Dre featuring Eminem,Q6078,United States of America,male
"""That's the Way""",Jo Dee Messina,Q464225,United States of America,female
"""Swear It Again""",Westlife,Q151241,Republic of Ireland,Unknown
"""The Next Episode""",Dr. Dre featuring Snoop Dogg,Q6078,United States of America,male
"""From the Bottom of My Broken Heart""",Britney Spears,Q11975,United States of America,female
"""Crash and Burn""",Savage Garden,Q493710,Australia,Unknown
"""Yes!""",Chad Brock,Q1058532,United States of America,male
"""The Best Day""",George Strait,Q366584,United States of America,male
"""Where I Wanna Be""",Donell Jones,Q1241173,United States of America,male
"""How Do You Like Me Now?!""",Toby Keith,Q559819,United States of America,male
"""My Best Friend""",Tim McGraw,Q356487,United States of America,male
"""Broadway""",Goo Goo Dolls,Q730046,United States of America,Unknown
"""What'chu Like""",Da Brat featuring Tyrese,Q449634,United States of America,female
"""Don't Think I'm Not""",Kandi,Q3192597,United States of America,female
"""I Hope You Dance""",Lee Ann Womack with Sons of the Desert,Q454082,United States of America,female
"""Better Off Alone""",Alice Deejay,Q1543955,Netherlands,Unknown
"""Dance with Me""",Debelah Morgan,Q841277,United States of America,female
"""What About Now""",Lonestar,Q1869293,United States of America,Unknown
"""I Like It""",Sammie,Q950517,United States of America,male
"""24/7""",Kevon Edmonds,Q6397835,United States of America,male
"""Girl on TV""",LFO,Q1758534,United States of America,Unknown
"""Bounce with Me""",Lil' Bow Wow featuring Xscape,Q312173,United States of America,male
"""Cowboy Take Me Away""",Dixie Chicks,Q142636,United States of America,Unknown
"""I Don't Wanna""",Aaliyah,Q11617,United States of America,female
"""Independent Women Part I""",Destiny's Child,Q153056,United States of America,Unknown
"""Gotta Tell You""",Samantha Mumba,Q254838,Republic of Ireland,female
"""Waiting for Tonight""",Jennifer Lopez,Q40715,United States of America,female
"""Shackles (Praise You)""",Mary Mary,Q1906374,United States of America,Unknown
