Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,Q16853301,United States of America,Unknown
"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,Q467423,United States of America,male
"""Radioactive""",Imagine Dragons,Q391348,United States of America,Unknown
"""Harlem Shake""",Baauer,Q4671711,United States of America,male
"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,Q16853301,United States of America,Unknown
"""Mirrors""",Justin Timberlake,Q43432,United States of America,male
"""Just Give Me a Reason""",Pink featuring Nate Ruess,Q160009,United States of America,female
"""When I Was Your Man""",Bruno Mars,Q1450,United States of America,male
"""Cruise""",Florida Georgia Line featuring Nelly,Q3644642,United States of America,Unknown
"""Roar""",Katy Perry,Q42493,United States of America,female
"""Locked Out of Heaven""",Bruno Mars,Q1450,United States of America,male
"""Ho Hey""",The Lumineers,Q496101,United States of America,Unknown
"""Stay""",Rihanna featuring Mikky Ekko,Q36844,Barbados,female
"""Get Lucky""",Daft Punk featuring Pharrell Williams,Q185828,France,Unknown
"""Royals""",Lorde,Q13476175,New Zealand,female
"""I Knew You Were Trouble""",Taylor Swift,Q26876,United States of America,female
"""We Can't Stop""",Miley Cyrus,Q4235,United States of America,genderfluid
"""Wrecking Ball""",Miley Cyrus,Q4235,United States of America,genderfluid
"""Wake Me Up""",Avicii,Q505476,Sweden,male
"""Suit & Tie""",Justin Timberlake featuring Jay-Z,Q43432,United States of America,male
"""Cups (Pitch Perfect's When I'm Gone)""",Anna Kendrick,Q67701,United States of America,female
"""Holy Grail""",Jay-Z featuring Justin Timberlake,Q62766,United States of America,male
"""Scream & Shout""",will.i.am featuring Britney Spears,Q185610,United States of America,male
"""Clarity""",Zedd featuring Foxes,Q21088,Russia,male
"""Sail""",Awolnation,Q66413,United States of America,Unknown
"""Don't You Worry Child""",Swedish House Mafia featuring John Martin,Q20709,Sweden,Unknown
"""Diamonds""",Rihanna,Q36844,Barbados,female
"""I Love It""",Icona Pop featuring Charli XCX,Q808703,Sweden,Unknown
"""Safe and Sound""",Capital Cities,Q5035696,United States of America,Unknown
"""Treasure""",Bruno Mars,Q1450,United States of America,male
"""The Way""",Ariana Grande featuring Mac Miller,Q151892,United States of America,female
"""Started from the Bottom""",Drake,Q33240,Canada,male
"""Come & Get It""",Selena Gomez,Q83287,United States of America,female
"""Hold On, We're Going Home""",Drake featuring Majid Jordan,Q33240,Canada,male
"""Daylight""",Maroon 5,Q182223,United States of America,Unknown
