Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Love Yourself""",Justin Bieber,Q34086,Canada,male
"""Sorry""",Justin Bieber,Q34086,Canada,male
"""One Dance""",Drake featuring Wizkid and Kyla,Q33240,Canada,male
"""Work""",Rihanna featuring Drake,Q36844,Barbados,female
"""Stressed Out""",Twenty One Pilots,Q7857806,United States of America,Unknown
"""Panda""",Desiigner,Q23091498,United States of America,male
"""Hello""",Adele,Q23215,United Kingdom,female
"""Don't Let Me Down""",The Chainsmokers featuring Daya,Q7721993,United States of America,Unknown
"""Can't Stop the Feeling!""",Justin Timberlake,Q43432,United States of America,male
"""Closer""",The Chainsmokers featuring Halsey,Q7721993,United States of America,Unknown
"""Cheap Thrills""",Sia featuring Sean Paul,Q181484,Australia,female
"""7 Years""",Lukas Graham,Q300935,Denmark,Unknown
"""Needed Me""",Rihanna,Q36844,Barbados,female
"""My House""",Flo Rida,Q213538,United States of America,male
"""I Took a Pill in Ibiza""",Mike Posner,Q268284,United States of America,male
"""Work from Home""",Fifth Harmony featuring Ty Dolla Sign,Q3087893,United States of America,Unknown
"""This Is What You Came For""",Calvin Harris featuring Rihanna,Q81637,Scotland,male
"""Cake by the Ocean""",DNCE,Q21648421,United States of America,Unknown
"""Me, Myself & I""",G-Eazy and Bebe Rexha,Q5511893,United States of America,male
"""Ride""",Twenty One Pilots,Q7857806,United States of America,Unknown
"""Heathens""",Twenty One Pilots,Q7857806,United States of America,Unknown
"""Pillowtalk""",Zayn,Q3626950,United Kingdom,male
"""Stitches""",Shawn Mendes,Q17198340,Canada,male
"""Hotline Bling""",Drake,Q33240,Canada,male
"""Cold Water""",Major Lazer featuring Justin Bieber and MØ,Q2604214,United States of America,Unknown
"""Send My Love (To Your New Lover)""",Adele,Q23215,United Kingdom,female
"""Roses""",The Chainsmokers featuring Rozes,Q7721993,United States of America,Unknown
"""Treat You Better""",Shawn Mendes,Q17198340,Canada,male
"""Too Good""",Drake featuring Rihanna,Q33240,Canada,male
"""Low Life""",Future featuring The Weeknd,Q3445057,United States of America,male
"""What Do You Mean?""",Justin Bieber,Q34086,Canada,male
"""The Hills""",The Weeknd,Q2121062,Canada,male
"""Just Like Fire""",P!nk,Q160009,United States of America,female
"""Broccoli""",DRAM featuring Lil Yachty,Q25138504,United States of America,male
"""Don't""",Bryson Tiller,Q21066641,United States of America,male
"""Dangerous Woman""",Ariana Grande,Q151892,United States of America,female
"""Jumpman""",Drake and Future,Q33240,Canada,male
"""I Hate U, I Love U""",Gnash featuring Olivia O'Brien,Q23978226,United States of America,male
"""Here""",Alessia Cara,Q20090091,Italy,female
"""Same Old Love""",Selena Gomez,Q83287,United States of America,female
"""Controlla""",Drake,Q33240,Canada,male
"""Like I'm Gonna Lose You""",Meghan Trainor featuring John Legend,Q17403494,United States of America,female
"""One Call Away""",Charlie Puth,Q19810390,United States of America,male
"""Let It Go""",James Bay,Q17811637,United Kingdom,male
"""No""",Meghan Trainor,Q17403494,United States of America,female
"""Never Forget You""",Zara Larsson and MNEK,Q4177928,Sweden,female
"""Let Me Love You""",DJ Snake featuring Justin Bieber,Q16728588,France,male
"""Don't Mind""",Kent Jones,Q25190082,United States of America,male
"""H.O.L.Y.""",Florida Georgia Line,Q3644642,United States of America,Unknown
"""We Don't Talk Anymore""",Charlie Puth featuring Selena Gomez,Q19810390,United States of America,male
"""Into You""",Ariana Grande,Q151892,United States of America,female
"""Gold""",Kiiara,Q23042767,United States of America,female
"""Exchange""",Bryson Tiller,Q21066641,United States of America,male
"""679""",Fetty Wap featuring Remy Boyz,Q19361511,United States of America,male
"""Oui""",Jeremih,Q472891,United States of America,male
"""Hands to Myself""",Selena Gomez,Q83287,United States of America,female
"""2 Phones""",Kevin Gates,Q6396353,United States of America,male
"""Starboy""",The Weeknd featuring Daft Punk,Q2121062,Canada,male
"""For Free""",DJ Khaled featuring Drake,Q80805,United States of America,male
"""Never Be Like You""",Flume featuring Kai,Q4038837,Australia,male
"""In the Night""",The Weeknd,Q2121062,Canada,male
"""Me Too""",Meghan Trainor,Q17403494,United States of America,female
"""Ex's & Oh's""",Elle King,Q5364665,United States of America,female
"""Die a Happy Man""",Thomas Rhett,Q7793491,United States of America,male
"""White Iverson""",Post Malone,Q21621919,United States of America,male
"""Close""",Nick Jonas featuring Tove Lo,Q201656,United States of America,male
"""Unsteady""",X Ambassadors,Q15963313,United States of America,Unknown
"""Sucker for Pain""","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadors",Q15615,United States of America,male
"""Down in the DM""",Yo Gotti featuring Nicki Minaj,Q586919,United States of America,male
"""Luv""",Tory Lanez,Q18353558,Canada,male
"""Sorry""",Beyoncé,Q36153,United States of America,female
"""Can't Feel My Face""",The Weeknd,Q2121062,Canada,male
"""Hymn for the Weekend""",Coldplay,Q45188,United Kingdom,Unknown
"""Say It""",Tory Lanez,Q18353558,Canada,male
"""Antidote""",Travis Scott,Q13605596,United States of America,male
"""Lost Boy""",Ruth B,Q22056665,Canada,female
"""Side to Side""",Ariana Grande featuring Nicki Minaj,Q151892,United States of America,female
"""Sit Still, Look Pretty""",Daya,Q21005558,United States of America,female
"""Wildest Dreams""",Taylor Swift,Q26876,United States of America,female
"""Middle""",DJ Snake featuring Bipolar Sunshine,Q16728588,France,male
"""On My Mind""",Ellie Goulding,Q31164,United Kingdom,female
"""Pop Style""",Drake featuring Jay-Z and Kanye West[a],Q33240,Canada,male
"""When We Were Young""",Adele,Q23215,United Kingdom,female
"""Hide Away""",Daya,Q21005558,United States of America,female
"""Lean On""",Major Lazer and DJ Snake featuring MØ,Q2604214,United States of America,Unknown
"""I Know What You Did Last Summer""",Shawn Mendes and Camila Cabello,Q17198340,Canada,male
"""All the Way Up""",Fat Joe and Remy Ma featuring French Montana and Infared,Q309888,United States of America,male
"""Watch Me""",Silentó,Q20354248,United States of America,male
"""Back to Sleep""",Chris Brown,Q155700,United States of America,male
"""No Limit""",Usher featuring Young Thug,Q165911,United States of America,male
"""Cut It""",O.T. Genasis featuring Young Dolph,Q18623749,United States of America,male
"""Really Really""",Kevin Gates,Q6396353,United States of America,male
"""All In My Head (Flex)""",Fifth Harmony featuring Fetty Wap,Q3087893,United States of America,Unknown
"""Starving""",Hailee Steinfeld and Grey featuring Zedd,Q231726,United States of America,female
"""Adventure of a Lifetime""",Coldplay,Q45188,United Kingdom,Unknown
"""Humble and Kind""",Tim McGraw,Q356487,United States of America,male
"""Wicked""",Future,Q3445057,United States of America,male
"""Tiimmy Turner""",Desiigner,Q23091498,United States of America,male
"""See You Again""",Wiz Khalifa featuring Charlie Puth,Q117139,United States of America,male
"""Perfect""",One Direction,Q146027,United Kingdom,Unknown
