Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Lonely""",Justin Bieber and Benny Blanco,Q34086,Canada,male
"""Beggin'""",Måneskin,Q56884561,Italy,Unknown
"""Streets""",Doja Cat,Q51120673,United States of America,female
"""What's Next""",Drake,Q33240,Canada,male
"""Famous Friends""",Chris Young and Kane Brown,Q952176,United States of America,male
"""Lil Bit""",Nelly and Florida Georgia Line,Q218992,United States of America,male
"""Thot Shit""",Megan Thee Stallion,Q59268408,United States of America,female
"""Late at Night""",Roddy Ricch,Q59209423,United States of America,male
"""Kings & Queens""",Ava Max,Q56755505,United States of America,female
"""Anyone""",Justin Bieber,Q34086,Canada,male
"""Track Star""",Mooski,Q114232244,Unknown,male
"""Time Today""",Moneybagg Yo,Q38459032,United States of America,male
"""Cry Baby""",Megan Thee Stallion featuring DaBaby,Q59268408,United States of America,female
"""All I Want for Christmas Is You""",Mariah Carey,Q41076,United States of America,female
"""No More Parties""",Coi Leray featuring Lil Durk,Q106376206,United States of America,female
"""What's Your Country Song""",Thomas Rhett,Q7793491,United States of America,male
"""One Too Many""",Keith Urban and Pink,Q315547,Australia,male
"""Arcade""",Duncan Laurence,Q60758679,Kingdom of the Netherlands,male
"""Yonaguni""",Bad Bunny,Q44333953,United States of America,male
"""Good Time""",Niko Moon,Q67399825,United States of America,male
"""If I Didn't Love You""",Jason Aldean and Carrie Underwood,Q195439,United States of America,male
"""Knife Talk""",Drake featuring 21 Savage and Project Pat,Q33240,Canada,male
"""POV""",Ariana Grande,Q151892,United States of America,female
"""Just the Way""",Parmalee and Blanco Brown,Q7139162,United States of America,Unknown
"""Take My Breath""",The Weeknd,Q2121062,Canada,male
"""We're Good""",Dua Lipa,Q21914464,United Kingdom,female
"""Hell of a View""",Eric Church,Q975911,United States of America,male
"""Rockin' Around the Christmas Tree""",Brenda Lee,Q230925,United States of America,female
"""Put Your Records On""",Ritt Momney,Q105105308,United States of America,male
"""Happier Than Ever""",Billie Eilish,Q29564107,United States of America,female
"""Single Saturday Night""",Cole Swindell,Q15101510,United States of America,male
"""Things a Man Oughta Know""",Lainey Wilson,Q106378786,United States of America,female
"""Throat Baby (Go Baby)""",BRS Kash,Q105409004,Unknown,male
"""Tombstone""",Rod Wave,Q78754352,United States of America,male
"""Drinkin' Beer. Talkin' God. Amen.""",Chase Rice featuring Florida Georgia Line,Q5087189,United States of America,male
"""Todo de Ti""",Rauw Alejandro,Q61586861,United States of America,male
