Title,Artist,Wikidata ID,Nationality or Origin,Gender
"""Levitating""",Dua Lipa,Q21914464,United Kingdom,female
"""Save Your Tears""",The Weeknd and Ariana Grande,Q2121062,Canada,male
"""Blinding Lights""",The Weeknd,Q2121062,Canada,male
"""Mood""",24kGoldn featuring Iann Dior,Q83751918,United States of America,male
"""Good 4 U""",Olivia Rodrigo,Q63243883,United States of America,female
"""Kiss Me More""",Doja Cat featuring SZA,Q51120673,United States of America,female
"""Leave the Door Open""",Silk Sonic (Bruno Mars and Anderson .Paak),Q105813956,United States of America,Unknown
"""Drivers License""",Olivia Rodrigo,Q63243883,United States of America,female
"""Montero (Call Me by Your Name)""",Lil Nas X,Q62591281,United States of America,male
"""Peaches""",Justin Bieber featuring Daniel Caesar and Giveon,Q34086,Canada,male
"""Butter""",BTS,Q13580495,South Korea,Unknown
"""Stay""",The Kid Laroi and Justin Bieber,Q82890761,Australia,male
"""Deja Vu""",Olivia Rodrigo,Q63243883,United States of America,female
"""Positions""",Ariana Grande,Q151892,United States of America,female
"""Bad Habits""",Ed Sheeran,Q47447,United Kingdom,male
"""Heat Waves""",Glass Animals,Q16839267,United Kingdom,Unknown
"""Without You""",The Kid Laroi,Q82890761,Australia,male
"""Forever After All""",Luke Combs,Q23884740,United States of America,male
"""Go Crazy""",Chris Brown and Young Thug,Q155700,United States of America,male
"""Astronaut in the Ocean""",Masked Wolf,Q105490126,Australia,male
"""34+35""",Ariana Grande featuring Doja Cat and Megan Thee Stallion,Q151892,United States of America,female
"""What You Know Bout Love""",Pop Smoke,Q81698554,United States of America,male
"""My Ex's Best Friend""",Machine Gun Kelly featuring Blackbear,Q1354843,United States of America,male
"""Industry Baby""",Lil Nas X and Jack Harlow,Q62591281,United States of America,male
"""Therefore I Am""",Billie Eilish,Q29564107,United States of America,female
"""Up""",Cardi B,Q29033668,United States of America,female
"""Fancy Like""",Walker Hayes,Q7962267,United States of America,male
"""Dakiti""",Bad Bunny and Jhay Cortez,Q44333953,United States of America,male
"""Best Friend""",Saweetie featuring Doja Cat,Q50486592,United States of America,female
"""Rapstar""",Polo G,Q62953486,United States of America,male
"""Heartbreak Anniversary""",Giveon,Q96418479,United States of America,male
"""For the Night""",Pop Smoke featuring Lil Baby and DaBaby,Q81698554,United States of America,male
"""Calling My Phone""",Lil Tjay and 6lack,Q61670761,United States of America,male
"""Beautiful Mistakes""",Maroon 5 featuring Megan Thee Stallion,Q182223,United States of America,Unknown
"""Holy""",Justin Bieber featuring Chance the Rapper,Q34086,Canada,male
"""On Me""",Lil Baby,Q50527563,United States of America,male
"""You Broke Me First""",Tate McRae,Q95129121,Canada,female
"""Traitor""",Olivia Rodrigo,Q63243883,United States of America,female
"""Back in Blood""",Pooh Shiesty featuring Lil Durk,Q105105274,United States of America,male
"""I Hope""",Gabby Barrett featuring Charlie Puth,Q53912835,United States of America,female
"""Dynamite""",BTS,Q13580495,South Korea,Unknown
"""Wockesha""",Moneybagg Yo,Q38459032,United States of America,male
"""You Right""",Doja Cat and the Weeknd,Q51120673,United States of America,female
"""Beat Box 2"" / ""Beat Box 3""",SpotemGottem featuring Pooh Shiesty / SpotemGottem featuring DaBaby,Q105105325,United States of America,male
"""Laugh Now Cry Later""",Drake featuring Lil Durk,Q33240,Canada,male
"""Need to Know""",Doja Cat,Q51120673,United States of America,female
"""Wants and Needs""",Drake featuring Lil Baby,Q33240,Canada,male
"""Way 2 Sexy""",Drake featuring Future and Young Thug,Q33240,Canada,male
"""Telepatía""",Kali Uchis,Q19004484,United States of America,female
"""Whoopty""",CJ,Q103868817,United States of America,male
"""Lemonade""",Internet Money and Gunna featuring Don Toliver and Nav,Q99691610,United States of America,Unknown
"""Good Days""",SZA,Q16210722,United States of America,female
"""Starting Over""",Chris Stapleton,Q5108148,United States of America,male
"""Body""",Megan Thee Stallion,Q59268408,United States of America,female
"""Willow""",Taylor Swift,Q26876,United States of America,female
"""Bang!""",AJR,Q16154058,United States of America,Unknown
"""Better Together""",Luke Combs,Q23884740,United States of America,male
"""You're Mines Still""",Yung Bleu featuring Drake,Q105105248,United States of America,male
"""Every Chance I Get""",DJ Khaled featuring Lil Baby and Lil Durk,Q80805,United States of America,male
"""Essence""",Wizkid featuring Justin Bieber and Tems,Q16233663,Nigeria,male
"""Chasing After You""",Ryan Hurd and Maren Morris,Q42224127,United States of America,male
"""The Good Ones""",Gabby Barrett,Q53912835,United States of America,female
"""Leave Before You Love Me""",Marshmello and Jonas Brothers,Q26334949,United States of America,male
"""Glad You Exist""",Dan + Shay,Q16959408,United States of America,Unknown
